State,City,2010 POP,Median 2010,2011 POP,Median 2011,2012 POP,Median 2012,2013 POP,Median 2013,2014 POP,Median 2014,2015 POP,Median 2015,2016 POP,Median 2016,2017 POP,Median 2017,Brewery Name,Country,Year Established,Still in Business?,Closed?
Maine,Bangor,33027,46933,32949,47898,32766,48219,32654,48453,32551,48804,32161,49331,31908,50826,31903,53024,2 Feet Brewing Company,UNITED STATES,2016,Y,N
Maine,Bangor,33027,46933,32949,47898,32766,48219,32654,48453,32551,48804,32161,49331,31908,50826,31903,53024,Geaghan Brothers Brewing,UNITED STATES,2011,Y,N
Maine,Bangor,33027,46933,32949,47898,32766,48219,32654,48453,32551,48804,32161,49331,31908,50826,31903,53024,2 Feet Brewing Company,UNITED STATES,2016,Y,N
Maine,Bangor,33027,46933,32949,47898,32766,48219,32654,48453,32551,48804,32161,49331,31908,50826,31903,53024,Geaghan Brothers Brewing,UNITED STATES,2011,Y,N
Maine,Bangor,33027,46933,32949,47898,32766,48219,32654,48453,32551,48804,32161,49331,31908,50826,31903,53024,2 Feet Brewing Company,UNITED STATES,2016,Y,N
Maine,Portland,66086,46933,66164,47898,66267,48219,66385,48453,66661,48804,66777,49331,66892,50826,66882,53024,Bissell Brothers,UNITED STATES,2013,Y,N
Maine,Portland,66086,46933,66164,47898,66267,48219,66385,48453,66661,48804,66777,49331,66892,50826,66882,53024,Bull Jagger Brewing Company,UNITED STATES,2011,N,Y
Maine,Portland,66086,46933,66164,47898,66267,48219,66385,48453,66661,48804,66777,49331,66892,50826,66882,53024,Oxbow Brewing Company,UNITED STATES,2011,Y,N
Maine,Portland,66086,46933,66164,47898,66267,48219,66385,48453,66661,48804,66777,49331,66892,50826,66882,53024,Bissell Brothers,UNITED STATES,2013,Y,N
Maine,Portland,66086,46933,66164,47898,66267,48219,66385,48453,66661,48804,66777,49331,66892,50826,66882,53024,Bull Jagger Brewing Company,UNITED STATES,2011,N,Y
Maine,Portland,66086,46933,66164,47898,66267,48219,66385,48453,66661,48804,66777,49331,66892,50826,66882,53024,Oxbow Brewing Company,UNITED STATES,2011,Y,N
Maine,Portland,66086,46933,66164,47898,66267,48219,66385,48453,66661,48804,66777,49331,66892,50826,66882,53024,Bissell Brothers,UNITED STATES,2013,Y,N
Maine,Portland,66086,46933,66164,47898,66267,48219,66385,48453,66661,48804,66777,49331,66892,50826,66882,53024,Bull Jagger Brewing Company,UNITED STATES,2011,N,Y
Maine,Portland,66086,46933,66164,47898,66267,48219,66385,48453,66661,48804,66777,49331,66892,50826,66882,53024,Oxbow Brewing Company,UNITED STATES,2011,Y,N
Maine,Portland,66086,46933,66164,47898,66267,48219,66385,48453,66661,48804,66777,49331,66892,50826,66882,53024,Bissell Brothers,UNITED STATES,2013,Y,N
Maine,Portland,66086,46933,66164,47898,66267,48219,66385,48453,66661,48804,66777,49331,66892,50826,66882,53024,Bull Jagger Brewing Company,UNITED STATES,2011,N,Y
Maine,Portland,66086,46933,66164,47898,66267,48219,66385,48453,66661,48804,66777,49331,66892,50826,66882,53024,Oxbow Brewing Company,UNITED STATES,2011,Y,N
Maine,Blue Hill,2680,46933,2681,47898,2669,48219,2674,48453,2660,48804,2649,49331,2672,50826,2665,53024,Deepwater Brewing Company,UNITED STATES,2011,Y,N
Maryland,Bel Air,10111,70647,10178,72419,10254,72999,10244,73538,10186,74149,10110,74551,10054,76067,10037,78916,AleCraft Brewery,UNITED STATES,2017,Y,N
Maryland,Bel Air,10111,70647,10178,72419,10254,72999,10244,73538,10186,74149,10110,74551,10054,76067,10037,78916,AleCraft Brewery,UNITED STATES,2017,Y,N
Maryland,Laurel,25006,70647,25265,72419,25435,72999,25659,73538,25913,74149,26017,74551,25977,76067,25906,78916,Jailbreak Brewing Company,UNITED STATES,2013,Y,N
Maryland,Laurel,25006,70647,25265,72419,25435,72999,25659,73538,25913,74149,26017,74551,25977,76067,25906,78916,Jailbreak Brewing Company,UNITED STATES,2013,Y,N
Massachusetts,Holyoke,39908,64509,40116,65981,40172,66658,40096,66866,40679,67846,40389,68563,40335,70954,40341,74167,3 Beards Beer Company,UNITED STATES,2010,Y,N
Massachusetts,Holyoke,39908,64509,40116,65981,40172,66658,40096,66866,40679,67846,40389,68563,40335,70954,40341,74167,Brewmaster Jack,UNITED STATES,2011,Y,N
Massachusetts,Holyoke,39908,64509,40116,65981,40172,66658,40096,66866,40679,67846,40389,68563,40335,70954,40341,74167,3 Beards Beer Company,UNITED STATES,2010,Y,N
Massachusetts,Holyoke,39908,64509,40116,65981,40172,66658,40096,66866,40679,67846,40389,68563,40335,70954,40341,74167,Brewmaster Jack,UNITED STATES,2011,Y,N
Massachusetts,Holyoke,39908,64509,40116,65981,40172,66658,40096,66866,40679,67846,40389,68563,40335,70954,40341,74167,3 Beards Beer Company,UNITED STATES,2010,Y,N
Massachusetts,Holyoke,39908,64509,40116,65981,40172,66658,40096,66866,40679,67846,40389,68563,40335,70954,40341,74167,Brewmaster Jack,UNITED STATES,2011,Y,N
Massachusetts,Holyoke,39908,64509,40116,65981,40172,66658,40096,66866,40679,67846,40389,68563,40335,70954,40341,74167,3 Beards Beer Company,UNITED STATES,2010,Y,N
Massachusetts,Holyoke,39908,64509,40116,65981,40172,66658,40096,66866,40679,67846,40389,68563,40335,70954,40341,74167,Brewmaster Jack,UNITED STATES,2011,Y,N
Massachusetts,Salem,41844,64509,42016,65981,42331,66658,42693,66866,43004,67846,43290,68563,43290,70954,43415,74167,Notch Brewery & Tap Room,UNITED STATES,2010,Y,N
Massachusetts,Salem,41844,64509,42016,65981,42331,66658,42693,66866,43004,67846,43290,68563,43290,70954,43415,74167,Notch Brewery & Tap Room,UNITED STATES,2010,Y,N
Massachusetts,Salem,41844,64509,42016,65981,42331,66658,42693,66866,43004,67846,43290,68563,43290,70954,43415,74167,Notch Brewery & Tap Room,UNITED STATES,2010,Y,N
Massachusetts,Salem,41844,64509,42016,65981,42331,66658,42693,66866,43004,67846,43290,68563,43290,70954,43415,74167,Notch Brewery & Tap Room,UNITED STATES,2010,Y,N
Massachusetts,Westfield,41115,64509,41402,65981,41258,66658,41556,66866,41653,67846,41753,68563,41644,70954,41700,74167,Tin Bridge Brewing Company,UNITED STATES,2014,Y,N
Massachusetts,Westfield,41115,64509,41402,65981,41258,66658,41556,66866,41653,67846,41753,68563,41644,70954,41700,74167,Tin Bridge Brewing Company,UNITED STATES,2014,Y,N
Massachusetts,Westfield,41115,64509,41402,65981,41258,66658,41556,66866,41653,67846,41753,68563,41644,70954,41700,74167,Tin Bridge Brewing Company,UNITED STATES,2014,Y,N
Massachusetts,Westfield,41115,64509,41402,65981,41258,66658,41556,66866,41653,67846,41753,68563,41644,70954,41700,74167,Tin Bridge Brewing Company,UNITED STATES,2014,Y,N
Massachusetts,Worcester,181830,64509,182457,65981,182627,66658,183421,66866,184592,67846,184873,68563,185119,70954,185677,74167,Flying Dreams Brewing Co.,UNITED STATES,2015,Y,N
Massachusetts,Worcester,181830,64509,182457,65981,182627,66658,183421,66866,184592,67846,184873,68563,185119,70954,185677,74167,Flying Dreams Brewing Co.,UNITED STATES,2015,Y,N
Massachusetts,Worcester,181830,64509,182457,65981,182627,66658,183421,66866,184592,67846,184873,68563,185119,70954,185677,74167,Flying Dreams Brewing Co.,UNITED STATES,2015,Y,N
Massachusetts,Worcester,181830,64509,182457,65981,182627,66658,183421,66866,184592,67846,184873,68563,185119,70954,185677,74167,Flying Dreams Brewing Co.,UNITED STATES,2015,Y,N
Massachusetts,Sheffield,3255,64509,3240,65981,3235,66658,3218,66866,3206,67846,3182,68563,3163,70954,3149,74167,Big Elm Brewing Company,UNITED STATES,2012,Y,N
Massachusetts,South Hadley,17733,64509,17824,65981,17834,66658,17715,66866,17715,67846,17646,68563,17791,70954,17791,74167,Drunken Rabbit Brewing,UNITED STATES,2017,Y,N
Massachusetts,Framingham,68643,64509,69634,65981,70078,66658,70554,66866,70832,67846,71065,68563,71622,70954,72032,74167,Exhibit 'A' Brewing Company,UNITED STATES,2016,Y,N
Massachusetts,Norwood,28649,64509,28709,65981,28853,66658,29028,66866,29124,67846,29075,68563,29138,70954,29195,74167,Percival Beer Company,UNITED STATES,2010,Y,N
Massachusetts,Hingham,22210,64509,22310,65981,22506,66658,22747,66866,22942,67846,23075,68563,23104,70954,23415,74167,Hingham Beer Works,UNITED STATES,2010,Y,N
Michigan,Ann Arbor,114093,48432,115345,48669,115787,48471,116413,48411,118308,49087,119624,49576,120713,50803,121477,52668,Biercamp,UNITED STATES,2011,Y,N
Michigan,Ann Arbor,114093,48432,115345,48669,115787,48471,116413,48411,118308,49087,119624,49576,120713,50803,121477,52668,Biercamp,UNITED STATES,2011,Y,N
Michigan,Ann Arbor,114093,48432,115345,48669,115787,48471,116413,48411,118308,49087,119624,49576,120713,50803,121477,52668,Biercamp,UNITED STATES,2011,Y,N
Michigan,Ann Arbor,114093,48432,115345,48669,115787,48471,116413,48411,118308,49087,119624,49576,120713,50803,121477,52668,Biercamp,UNITED STATES,2011,Y,N
Michigan,Charlevoix,2509,48432,2518,48669,2522,48471,2513,48411,2506,49087,2502,49576,2496,50803,2493,52668,Lake Charlevoix Brewing Company,UNITED STATES,2015,Y,N
Michigan,Charlevoix,2509,48432,2518,48669,2522,48471,2513,48411,2506,49087,2502,49576,2496,50803,2493,52668,Lake Charlevoix Brewing Company,UNITED STATES,2015,Y,N
Michigan,Charlevoix,2509,48432,2518,48669,2522,48471,2513,48411,2506,49087,2502,49576,2496,50803,2493,52668,Lake Charlevoix Brewing Company,UNITED STATES,2015,Y,N
Michigan,Charlevoix,2509,48432,2518,48669,2522,48471,2513,48411,2506,49087,2502,49576,2496,50803,2493,52668,Lake Charlevoix Brewing Company,UNITED STATES,2015,Y,N
