,State_x,City_x,2010 POP,Median 2010,2011 POP,Median 2011,2012 POP,Median 2012,2013 POP,Median 2013,2014 POP,Median 2014,2015 POP,Median 2015,2016 POP,Median 2016,2017 POP,Median 2017,Brewery Name,City_y,State_y,Country,Year Established,Still in Business?,Closed?
76482,Washington,Burien city,48191,57244,48761,58890,49503,59374,49949,59478,50254,60294,50501,61062,51177,62848,51671,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76483,Washington,Carnation city,1790,57244,1811,58890,1832,59374,1845,59478,1853,60294,1869,61062,1996,62848,2164,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76484,Washington,Clyde Hill city,2995,57244,3044,58890,3109,59374,3153,59478,3197,60294,3228,61062,3274,62848,3318,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76485,Washington,Covington city,17618,57244,17955,58890,18343,59374,18858,59478,19121,60294,19972,61062,20666,62848,20916,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76486,Washington,Des Moines city,29729,57244,30067,58890,30461,59374,30697,59478,31003,60294,31187,61062,31229,62848,31238,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76487,Washington,Duvall city,6741,57244,6868,58890,7203,59374,7479,59478,7648,60294,7679,61062,7735,62848,7813,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76488,Washington,Enumclaw city (pt.),11123,57244,11304,58890,11462,59374,11544,59478,11597,60294,11657,61062,11744,62848,11784,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76489,Washington,Federal Way city,89518,57244,90644,58890,91922,59374,92716,59478,93348,60294,94970,61062,96775,62848,96690,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76490,Washington,Hunts Point town,397,57244,406,58890,414,59374,423,59478,432,60294,435,61062,435,62848,434,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76491,Washington,Issaquah city,30539,57244,31923,58890,32609,59374,33499,59478,33976,60294,35930,61062,37233,62848,37487,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76492,Washington,Kenmore city,20551,57244,20969,58890,21307,59374,21646,59478,21859,60294,22030,61062,22407,62848,22867,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76493,Washington,Kent city,119002,57244,120859,58890,123053,59374,124511,59478,125546,60294,126804,61062,127694,62848,128458,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76494,Washington,Kirkland city,80825,57244,82014,58890,83362,59374,84532,59478,85907,60294,87055,61062,87636,62848,88630,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76495,Washington,Lake Forest Park city,12632,57244,12785,58890,12992,59374,13104,59478,13192,60294,13240,61062,13296,62848,13392,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76496,Washington,Maple Valley city,22803,57244,23416,58890,24154,59374,24761,59478,25082,60294,25598,61062,25674,62848,25758,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76497,Washington,Medina city,2977,57244,3019,58890,3066,59374,3122,59478,3186,60294,3221,61062,3248,62848,3267,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76498,Washington,Mercer Island city,22758,57244,23336,58890,23687,59374,24108,59478,24331,60294,25013,61062,25163,62848,25261,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76499,Washington,Milton city (pt.),833,57244,857,58890,870,59374,1086,59478,1161,60294,1169,61062,1415,62848,1414,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
