Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
Blue Bee Cider,Richmond,Virginia,UNITED STATES,2012,Y,N
Bluebonnet Beer Company,Round Rock,Texas,UNITED STATES,2014,Y,N
BlueTarp Brewery Company,Decatur,Georgia,UNITED STATES,2012,Y,N
Boochcraft,Chula Vista,California,UNITED STATES,2014,Y,N
Boss Dog Brewing Company,Cleveland Heights,Ohio,UNITED STATES,2017,Y,N
Bravo Zulu,N Williamsburg,Michigan,UNITED STATES,2013,N,Y
Beer Lab HI,Honolulu,Hawaii,UNITED STATES,2016,Y,N
Mad Fox Brewing Company,Falls Church,Virginia,UNITED STATES,2010,Y,N
Eudora Brewing Company,Kettering,Ohio,UNITED STATES,2012,Y,N
Falling Sky,Eugene,Oregon,UNITED STATES,2012,Y,N
Good Times Brewing at The Mill House,Greenwood,South Carolina,UNITED STATES,2014,Y,N
Bushwhacker Cider,Portland,Oregon,UNITED STATES,2010,Y,N
Calibration Brewery,North Kansas City,Missouri,UNITED STATES,2016,Y,N
Key City Brewing Co.,St Vicksburg,Mississippi,UNITED STATES,2018,Y,N
Craft Artisan Ales,Pacific Grove,California,UNITED STATES,2013,Y,N
Cranker's Brewery,Mount Pleasant,Michigan,UNITED STATES,2012,Y,N
Cranker's Brewery,Grand Rapids,Michigan,UNITED STATES,2012,Y,N
Crescent Brewery,Nampa,Idaho,UNITED STATES,2009,Y,N
Crystal Coast Brewing Company,Atlantic Beach,North Carolina,UNITED STATES,2017,Y,N
Cynosure Brewing,Anchorage,Alaska,UNITED STATES,2015,Y,N
Dakota Point Brewing,Rapid City,South Dakota,UNITED STATES,2017,Y,N
Dearborn Brewing,Dearborn,Michigan,UNITED STATES,2015,Y,N
Deception Brewing Company,Dundee,Oregon,UNITED STATES,2014,Y,N
DESTIHL Brewery,Normal,Illinois,UNITED STATES,2013,Y,N
Devil and the Deep Brewery,Galveston,Texas,UNITED STATES,2018,Y,N
Devil Wind Brewing,Xenia,Ohio,UNITED STATES,2017,Y,N
Dirty Job Brewing,Mansfield,Texas,UNITED STATES,2017,Y,N
Divine Barrel Brewing,Charlotte,North Carolina,UNITED STATES,2018,Y,N
Three Huskies Brewing,Canandaigua,New York,UNITED STATES,2014,Y,N
"Drumming Grouse Brewery, LLC",South Bridgton,Maine,UNITED STATES,2017,Y,N
Drunken Rabbit Brewing,South Hadley,Massachusetts,UNITED STATES,2017,Y,N
Dubious Claims Brewing,Excelsior Springs,Missouri,UNITED STATES,2018,Y,N
Dublin Corners Farm Brewery,Linwood,New York,UNITED STATES,2016,Y,N
Duncan's Abbey,Tarrytown,New York,UNITED STATES,2013,Y,N
Dust Bowl Brewing Company,Turlock,California,UNITED STATES,2009,Y,N
Edmund's Oast,Charleston,South Carolina,UNITED STATES,2013,Y,N
El Paso Brewing Company,El Paso,Texas,UNITED STATES,2016,Y,N
Elevate Your Passion Brewing,Tempe,Arizona,UNITED STATES,2017,Y,N
Elk Brewing,Grand Rapids,Michigan,UNITED STATES,2014,Y,N
Ferrari Beer Company,Dobbs Ferry,New York,UNITED STATES,2014,Y,N
Finest Made Ales,Santee,California,UNITED STATES,2016,Y,N
